experiment_id,datetime,method,input_file,mae_meter,rmse_meter,config,notes
20260426_185608,2026-04-26T18:56:08.490936,linear_time_interpolation,val_input_8,92.04,121.82,configs/task_a_baseline.yaml,
20260426_185616,2026-04-26T18:56:16.951180,linear_time_interpolation,val_input_16,170.39,224.55,configs/task_a_baseline.yaml,
20260426_185621,2026-04-26T18:56:21.397479,linear_with_speed_smoothing,val_input_8,99.55,129.58,configs/task_a_advanced.yaml,
20260426_185626,2026-04-26T18:56:26.062862,linear_with_speed_smoothing,val_input_16,174.87,227.66,configs/task_a_advanced.yaml,
20260426_185743,2026-04-26T18:57:43.380198,linear_with_speed_smoothing,val_input_8,92.04,121.82,configs/task_a_advanced.yaml,
20260426_185745,2026-04-26T18:57:45.309003,linear_with_speed_smoothing,val_input_16,170.39,224.55,configs/task_a_advanced.yaml,
20260426_190923,2026-04-26T19:09:23.154996,knn_template_refinement,val_input_8,216.68,282.79,configs/task_a_advanced.yaml,
20260426_193621,2026-04-26T19:36:21.698113,catmull_rom_interpolation,val_input_8,89.16,116.18,configs/task_a_advanced.yaml,
20260426_193627,2026-04-26T19:36:27.618985,catmull_rom_interpolation,val_input_16,166.22,215.65,configs/task_a_advanced.yaml,
20260426_195835,2026-04-26T19:58:35.711493,pchip_time_interpolation,val_input_16,163.53,216.03,configs/task_a_advanced.yaml,
20260426_195835,2026-04-26T19:58:35.724805,pchip_time_interpolation,val_input_8,87.59,116.09,configs/task_a_advanced.yaml,
20260426_200120,2026-04-26T20:01:20.105044,local_segment_template_interpolation,val_input_8,64.73,92.02,configs/task_a_advanced.yaml,
20260426_200120,2026-04-26T20:01:20.304397,local_segment_template_interpolation,val_input_16,120.73,168.34,configs/task_a_advanced.yaml,
20260504_141641,2026-05-04T14:16:41.710401,local_segment_template_interpolation,val_input_8,62.03,89.07,configs/task_a_advanced.yaml,
20260504_141709,2026-05-04T14:17:09.040236,local_segment_template_interpolation,val_input_16,116.50,163.59,configs/task_a_advanced.yaml,
20260504_142121,2026-05-04T14:21:21.180543,local_segment_template_interpolation,val_input_8,61.66,89.21,configs/task_a_advanced.yaml,
20260504_142148,2026-05-04T14:21:48.913575,local_segment_template_interpolation,val_input_16,115.73,163.61,configs/task_a_advanced.yaml,
20260504_142707,2026-05-04T14:27:07.620316,local_segment_template_interpolation,val_input_8,61.51,88.59,configs/task_a_advanced.yaml,
20260504_142739,2026-05-04T14:27:39.384477,local_segment_template_interpolation,val_input_16,115.37,162.00,configs/task_a_advanced.yaml,
20260504_143309,2026-05-04T14:33:09.713432,local_segment_template_interpolation,val_input_8,57.40,83.73,configs/task_a_advanced.yaml,
20260504_143409,2026-05-04T14:34:09.958156,local_segment_template_interpolation,val_input_16,106.48,152.18,configs/task_a_advanced.yaml,
